"","worker_id","accuracy","screener","complete_task","payment_accuracy_threshold","worker_id_found_on_MTurk","task_name","task_date","treatment_payrate","pay_or_not","repeater"
"53","A37VBAMFEQKJO4",0.78,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"54","A1Q2LJQG0TWBWC",0.68,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"55","A23VM3SZWYATBO",0.86,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA
"56","A243X2Y9HP7630",0.22,1,1,0.25,1,"pilot","10/29/2017",0.25,0,NA
"57","A25T92H4YKP4RN",0.74,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"58","A1PAMVTKGCXSWQ",0.54,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"59","A1THDEF2SOOYC1",0.54,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"60","A3UVW94KB9UBAJ",0.3,0,1,0.25,1,"pilot","10/29/2017",0.25,0,NA
"61","A3CBOZUTFR0NR7",0.2,0,1,0.25,1,"pilot","10/29/2017",0.25,0,NA
"62","A247PDSKLZU86P",0.22,0,1,0.25,1,"pilot","10/29/2017",0.25,0,NA
"63","AV15YFBYL71S6",0.72,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"64","ARIIUMV385A2T",0.76,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"65","A9J48W1C9IZAI",0.78,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"66","A2KDAMD5LF5QIB",0.8,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"67","AUBB8KU9XV2R8",0.2,1,1,0.25,1,"pilot","10/29/2017",0.25,0,NA
"68","A15QGLWS8CNJFU",0.06,0,1,0.25,1,"pilot","10/29/2017",0.25,0,NA
"69","A2COCSUGZV28X",0.18,0,1,0.25,1,"pilot","10/29/2017",0.25,0,NA
"70","AZHAEAUN4XD7J",0.64,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"71","A73YPB27KPQO6",0.82,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"72","A35RZ2HKE9VWJ5",0.64,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"73","APWBUB0PDRLS5",0.36,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"74","A356EVHB3TU90R",0.42,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"75","A36JTIZPOO2HO5",0.56,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"76","A1QYRXQWOPKHKS",0.8,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"77","A24Q1UMV25TBV2",0.82,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"78","A18LFH7XW61JO9",0.56,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"79","AKZUP3VY594E8",0.76,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"80","AKHO08K69B4Y4",0.74,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"81","AW06DHUMM00YZ",0.72,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"82","AY0758IITCGOZ",0.62,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"83","A2122A7BZNUWXO",0.1,0,1,0.25,1,"pilot","10/29/2017",0.25,0,NA
"84","A18E19QXO73YM4",0.64,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"85","A7AC4LOPB67ZQ",0.74,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"86","A15F2JTVAJXITI",0.74,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"87","A340UGIDGIF4W6",0.8,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"88","A2CI2ZTPP3XYK0",0.32,1,1,0.25,0,"pilot","10/29/2017",0.25,0,NA
"89","A1IZH46P2BIQCI",0.36,0,1,0.25,0,"pilot","10/29/2017",0.25,0,NA
"90","A3LR025532MVYE",0.7,1,1,0.25,0,"pilot","10/29/2017",0.25,0,NA
"91","A2I9PUZT19ZBO8",0.44,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"92","A2EOCXRCAYGUK5",0.7,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"93","A3F9XJD1D8QHPA",0.52,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"94","A2OY9A85LR5AAQ",0.66,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"95","A27CB6JIC5MZFR",0.7,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"96","A3F9IQB0297J9D",0.52,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"97","A3KHOW5FW32RUL",0.56,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"98","A2L73JKDFWI0KJ",0.84,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"99","ACI1OFQTEMUV0",0.5,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"100","A2AUMGW4F3G1OF",0.72,1,1,0.25,0,"pilot","10/29/2017",0.25,0,NA
"101","A1QYORNO0GY308",0.6,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"102","A88D0XRD2AUB8",0.62,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"103","AZIAQJWXTSFUX",0.7,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"104","AMQ6U0KTUPZGG",0.76,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"105","A151IWEMV5XRTA",0.7,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"106","A3AS4FEB057TRG",0.78,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"107","A12723JDRPT207",0.74,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"108","A1SM0IKQ4OTSCI",0.74,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"109","A20WI3VW3CBOWN",0.72,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA
"110","A1F8ZAE0P2RA8O",0.06,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"111","A3H4BXI9FLYL7T",0.1,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"112","A3QX9ABC1DVMQG",0.2,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"113","ASKV5KO5CV616",0.16,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"114","AHRUMV5C1O0TD",0.1,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"115","A2IYMT4S5WT96I",0.22,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"116","A2OD4LJKPZDL2J",0.18,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"117","A3HT6A9N2R5540",0.2,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"118","A2UVS1PDM9QM4Z",0.06,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"119","A2HNND8B9GMR3J",0.22,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"120","A19BNROHVICIT3",0.12,0,1,0.25,0,"order1","11/11/2017",0.1,0,NA
"121","A3FOSM7GD8KNE7",0.12,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"122","link:	https://berkeley.qualtrics.com/jfe/form/SV_0c74D4KW5HOi4W9",0.18,1,1,0.25,0,"order1","11/11/2017",0.1,0,NA
"123","A2V8LLZRTOP79S",0.16,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"124","A8H704SBGR2EM",0.12,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"125","A1IM8G6UNAGQ7S",0.1,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"126","A3PT15XRN1X8VE",0.1,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"127","A1IPRH4LUEY12N",0.08,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"128","A2GTY8GLAYN9BU",0.24,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"129","A2FAKTUX48XA8L",0.18,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"130","A26TV9G5913CEI",0.96,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"131","A21LQSF1TA83QU",0.12,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"132","AGTKQI9PCODC5",0.94,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"133","A8HADRH59XIB4",0.08,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"134","A2YBW31YWAJAOK",0.08,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"135","A3pqugiqqbpr98",0.2,1,1,0.25,0,"order1","11/11/2017",0.1,0,NA
"136","A31AB2277ZZP38",0.18,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"137","A20SMUCY0FQA7Z",0.08,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"138","A1TQ7UQSSQP7BD",0.18,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"139","A6NN7XDLH3RON",0.12,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"140","A264EBGUV70XK9",0.14,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"141","A32Y9JC775LYLV",0.12,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"142","A3O8NBM8GZ0QHW",0.06,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"143","A2M5YIOR0MJUSA",0.14,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"144","A3HKZTDORNEZ",0.1,0,1,0.25,0,"order1","11/11/2017",0.1,0,NA
"145","A2ZB24AEN6N7Y3",0.2,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"146","A17Y9UW18EFVTU",0.08,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"147","A153IWW5M88F18",0.06,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"148","A1XE81PDQ4YPE",0.18,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"149","AYLAJHJXMPIBM",0.14,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"150","A3N0PDSJKA189T",0.18,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"151","A2L7S6RZOZ6NM9",0.16,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"152","APJJ1HHD2GGFS",0.2,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"153","AUBC0HIVKBOTF",0.06,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"154","A3VOMP0WOJTB4I",0.1,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"155","AQ4PB1PVI9U7V",0.08,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"156","A19HCBT1EH8484",0.08,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"157","A2CP6716BCS8UI",0.18,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"158","A4KSSWL5Z1V2L",0.1,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"159","A457TMXH02V1O",0.1,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"160","A3B203SOMXJ20F",0.14,1,1,0.25,0,"order1","11/11/2017",0.1,0,NA
"161","A2S70B3BPRGCU0",0.2,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"162","AD368A1RHHRC3",0.66,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"163","A30V1UH00MWJU5",0.08,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"164","A35P8YSNTQ7OTP",0.72,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"165","A2SPFKH9FQ589W",0.08,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"166","A3HBWCNYRAL8DZ",0.08,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"167","A2XUGLS5WG70B6",0.18,1,1,0.25,0,"order1","11/11/2017",0.1,0,NA
"168","A19PN52BDA462L",0.14,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"169","A2GXKPQB64DZC1",0.06,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"170","A39KVTVXJ5FU61",0.2,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"171","AMC42JMQA8A5U",0.1,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"172","A34IWSTZZZ4O1F",0.74,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"173","A1Y2N49VMVJ7C6",0.14,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"174","A8TSAF0F6JCI9",0.18,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"175","A2Q4ILF5IEPAE3",0.2,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"176","A34I1GV81BC9HE",0.08,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"177","A366MTQY0JG0EM",0.08,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"178","A3I2YX844MIRHH",0.08,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"179","A3F2L0C3JD7HVJ",0.1,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"180","A24CZN2VAI0US0",0.28,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"181","A1H5NN7PBN3979",0.08,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"182","A2E746SZEOVYXS",0.86,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"183","A1I6HDYRYDLWHA",0.2,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"184","A2482SLAY120J2",0.68,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"185","A3CLD4WJ1KWRPI",0.84,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"186","A2STXZFG083AAB",0.96,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"187","A3SUJYKV0JT0HA",0.94,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"188","A1PTC5FHUYMWYL",0.18,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"189","A31AGR8JS1MZI5",0.76,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"190","A23A1WMFNPETYQ",0.96,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"191","A33QI63NVR8CUO",0.68,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"192","A3SG675I9KG2Q0",0.5,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"193","A311VRCICCHRAG",0.58,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"194","A18V9R4S66TXC4",0.86,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"195","ATCB59EEU90H9",0.92,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"196","A37Q3659BNZQNZ",0.96,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"197","AZ0KS5UTO3EJ2",0.14,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA
"198","A3MAX9VZ9377NI",0.94,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"199","A1O9W0DBOAX4DD",0.84,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"200","A9HMOLVCWOYR5",0.36,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"201","A2YW35WSBU88O0",0.9,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"202","A1B14CS9DW7008",0.9,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"203","A12NO2MNOIREXA",0.88,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"204","A2B153AHPWHLH1",0.72,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"205","A2Z3UJQPANB6NF",0.92,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"206","A34KOI4FSDOTDT",0.94,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"207","A12DOOZ9TBSEZX",0.68,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"208","A1HANCHKYZKOL9",0.56,1,1,0.25,0,"order1","11/11/2017",0.1,0,NA
"209","AT94Y12KGEKNO",0.92,1,1,0.25,0,"order1","11/11/2017",0.1,0,NA
"210","A2CDT2Q9AIGV3C",0.78,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"211","A1VJ9BKTHSTC9A",0.9,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA
"212","A2NT5QJKPUBAKO",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"213","A3VOMP0WOJTB4I",NA,NA,0,0.25,1,"order1","11/11/2017",0.1,0,NA
"214","A3VOMP0WOJTB4I",NA,NA,0,0.25,1,"order1","11/11/2017",0.1,0,NA
"215","AQ4PB1PVI9U7V",NA,NA,0,0.25,1,"order1","11/11/2017",0.1,0,NA
"216","AQ4PB1PVI9U7V",NA,NA,0,0.25,1,"order1","11/11/2017",0.1,0,NA
"217","A1YN3AGDWAB1ZE",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"218","A2WHC086WNUQNB",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"219","A2K845C6SHVIIE",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"220","A3DGEVDRQP9LK8",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"221","A2K845C6SHVIIE",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"222","A36PRTZFECB76C",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"223","A2YB18JHC2C7GF",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"224","A3DGEVDRQP9LK8",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"225","A356O3RJYQUW5M",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"226","A28LJ6540DSBSQ",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"227","A2Z6NL0CTXY0ZB",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"228","A3L8C3IF955Z65",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"229","A3NZB7Y6YRNFX6",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"230","A36PRTZFECB76C",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"231","A28VLKVVLTBEE1",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"232","AUHYD676BKYED",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"233","A2MM4PJI9L2A5B",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"234","A1CY01G7686ORZ",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"235","A2MM4PJI9L2A5B",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"236","A1X8NXWQBMXSV6",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"237","A1R93MQYAFEVX1",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"238","A2J5H5E8O39T9L",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"239","A1DK26QAO4OOMQ",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"240","A2WFNPUI1JSPG4",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"241","A8OJN597O9W2K",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"242","A1H5NN7PBN3979",NA,NA,0,0.25,1,"order1","11/11/2017",0.1,0,NA
"243","AUHYD676BKYED",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"244","A1DOFRIBREZMVL",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"245","A23Y6SGE73H4IW",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"246","ASCR5VJBFMXCA",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"247","A1ZDR2UN7M92LI",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"248","A3GPKYAXYEHEI2",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"249","AUHKT6LPP7A8R",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"250","A3JSMBOXDHJNRG",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"251","A38TZK07ON180S",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"252","A2GIZDKKCGN6V1",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"253","AQ277F26ZFB1K",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"254","A26ZENZ5G8AEGM",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"255","A289S5O8KN4JYI",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"256","AQ277F26ZFB1K",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"257","AI5A0ZRAZFTKK",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"258","A6D76ECRBCFYN",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"259","AT2C9OU6PE4T7",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"260","A5Z8N0EWH45YT",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"261","AM10DHC44MRUV",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"262","AK1Y09TWU3IQ6",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"263","A369TV2ZTHDKLS",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"264","A21DIDZLLFZALH",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"265","A1F2YZD2VD1CTM",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"266","A207MWA5U0GWA5",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"267","A2V5NAZFXWOFXE",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"268","A1F2YZD2VD1CTM",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
"269","AVBIH8GQPT15F",NA,NA,0,0.25,0,"order1","11/11/2017",0.1,0,NA
