"","worker_id","accuracy","screener","complete_task","payment_accuracy_threshold","worker_id_found_on_MTurk","task_name","task_date","treatment_payrate","pay_or_not","repeater","group","accuracy_S1","accuracy_S2","accuracy_S3","total_bonus"
"18","A6GS1C9J3ARSB",0.14,0,1,0.25,1,"pilot","10/28/2017",0.1,0,NA,NA,NA,NA,NA,NA
"19","AYR7LHHVFNL8D",0.22,1,1,0.25,1,"pilot","10/28/2017",0.1,0,NA,NA,NA,NA,NA,NA
"20","ADVCIFLB5A9B",0.64,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"21","A2X3QCJK0H18T8",0.16,0,1,0.25,1,"pilot","10/28/2017",0.1,0,NA,NA,NA,NA,NA,NA
"22","A1IPW3ERKG1H5V",0.16,0,1,0.25,1,"pilot","10/28/2017",0.1,0,NA,NA,NA,NA,NA,NA
"23","A2CI211U7YLBID",0.78,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"24","A1VG8WTPJFZJAI",0.88,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"25","A1GKUAKO01ONT7",0.48,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"26","A748ETX7W2MBZ",0.18,1,1,0.25,1,"pilot","10/28/2017",0.1,0,NA,NA,NA,NA,NA,NA
"27","A2H9COVN7HMNLL",0.18,0,1,0.25,1,"pilot","10/28/2017",0.1,0,NA,NA,NA,NA,NA,NA
"28","A1GRRCH4K8JYBO",0.48,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"29","A34LRS5WXFCCIY",0.76,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"30","A161XKHTHC50S8",0.74,1,1,0.25,0,"pilot","10/28/2017",0.1,0,NA,NA,NA,NA,NA,NA
"31","ARTLO1JR51DT",0.06,0,1,0.25,1,"pilot","10/28/2017",0.1,0,NA,NA,NA,NA,NA,NA
"32","A19BEDJTKWEDDM",0.72,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"33","A2KEGX3820EQZE",0.82,1,1,0.25,0,"pilot","10/28/2017",0.1,0,NA,NA,NA,NA,NA,NA
"34","A19V3A2N7GWL77",0.72,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"35","A3LSXZR843QSGC",0.62,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"36","A23QPHQND6CS8Y",0.52,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"37","ABVZFMC26LXO6",0.36,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"38","A3KUGXG2Y6X7BD",0.62,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"39","A3R3JXBJVLMNIF",0.58,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"40","A27KF4TT4FWEHI",0.58,1,1,0.25,0,"pilot","10/28/2017",0.1,0,NA,NA,NA,NA,NA,NA
"41","A2OSXVGQUR6IL6",0.5,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"42","A2AO8E3DIJRP8E",0.84,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"43","A2OW0GGDTHSVPC",0.78,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"44","A1POSVC6FSYWLW",0.8,1,1,0.25,0,"pilot","10/28/2017",0.1,0,NA,NA,NA,NA,NA,NA
"45","A3UN9YYKM944VX",0.66,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"46","A1ANSFI5L7SUUH",0.7,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"47","A1U2DXPXFTDKPU",0.52,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"48","A2MLNBQS8RZ8PG",0.76,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"49","A15YR0KPRSH9T4",0.78,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"50","A36XTKYLP4IRDN",0.72,1,1,0.25,0,"pilot","10/28/2017",0.1,0,NA,NA,NA,NA,NA,NA
"51","A3OCHRI3EXIVEG",0.16,1,1,0.25,1,"pilot","10/28/2017",0.1,0,NA,NA,NA,NA,NA,NA
"52","A252PMEYW7EUQC",0.82,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"53","A37VBAMFEQKJO4",0.78,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"54","A1Q2LJQG0TWBWC",0.68,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"55","A23VM3SZWYATBO",0.86,1,1,0.25,1,"pilot","10/28/2017",0.1,1,NA,NA,NA,NA,NA,NA
"56","A243X2Y9HP7630",0.22,1,1,0.25,1,"pilot","10/29/2017",0.25,0,NA,NA,NA,NA,NA,NA
"57","A25T92H4YKP4RN",0.74,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"58","A1PAMVTKGCXSWQ",0.54,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"59","A1THDEF2SOOYC1",0.54,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"60","A3UVW94KB9UBAJ",0.3,0,1,0.25,1,"pilot","10/29/2017",0.25,0,NA,NA,NA,NA,NA,NA
"61","A3CBOZUTFR0NR7",0.2,0,1,0.25,1,"pilot","10/29/2017",0.25,0,NA,NA,NA,NA,NA,NA
"62","A247PDSKLZU86P",0.22,0,1,0.25,1,"pilot","10/29/2017",0.25,0,NA,NA,NA,NA,NA,NA
"63","AV15YFBYL71S6",0.72,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"64","ARIIUMV385A2T",0.76,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"65","A9J48W1C9IZAI",0.78,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"66","A2KDAMD5LF5QIB",0.8,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"67","AUBB8KU9XV2R8",0.2,1,1,0.25,1,"pilot","10/29/2017",0.25,0,NA,NA,NA,NA,NA,NA
"68","A15QGLWS8CNJFU",0.06,0,1,0.25,1,"pilot","10/29/2017",0.25,0,NA,NA,NA,NA,NA,NA
"69","A2COCSUGZV28X",0.18,0,1,0.25,1,"pilot","10/29/2017",0.25,0,NA,NA,NA,NA,NA,NA
"70","AZHAEAUN4XD7J",0.64,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"71","A73YPB27KPQO6",0.82,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"72","A35RZ2HKE9VWJ5",0.64,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"73","APWBUB0PDRLS5",0.36,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"74","A356EVHB3TU90R",0.42,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"75","A36JTIZPOO2HO5",0.56,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"76","A1QYRXQWOPKHKS",0.8,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"77","A24Q1UMV25TBV2",0.82,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"78","A18LFH7XW61JO9",0.56,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"79","AKZUP3VY594E8",0.76,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"80","AKHO08K69B4Y4",0.74,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"81","AW06DHUMM00YZ",0.72,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"82","AY0758IITCGOZ",0.62,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"83","A2122A7BZNUWXO",0.1,0,1,0.25,1,"pilot","10/29/2017",0.25,0,NA,NA,NA,NA,NA,NA
"84","A18E19QXO73YM4",0.64,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"85","A7AC4LOPB67ZQ",0.74,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"86","A15F2JTVAJXITI",0.74,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"87","A340UGIDGIF4W6",0.8,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"88","A2CI2ZTPP3XYK0",0.32,1,1,0.25,0,"pilot","10/29/2017",0.25,0,NA,NA,NA,NA,NA,NA
"89","A1IZH46P2BIQCI",0.36,0,1,0.25,0,"pilot","10/29/2017",0.25,0,NA,NA,NA,NA,NA,NA
"90","A3LR025532MVYE",0.7,1,1,0.25,0,"pilot","10/29/2017",0.25,0,NA,NA,NA,NA,NA,NA
"91","A2I9PUZT19ZBO8",0.44,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"92","A2EOCXRCAYGUK5",0.7,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"93","A3F9XJD1D8QHPA",0.52,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"94","A2OY9A85LR5AAQ",0.66,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"95","A27CB6JIC5MZFR",0.7,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"96","A3F9IQB0297J9D",0.52,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"97","A3KHOW5FW32RUL",0.56,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"98","A2L73JKDFWI0KJ",0.84,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"99","ACI1OFQTEMUV0",0.5,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"100","A2AUMGW4F3G1OF",0.72,1,1,0.25,0,"pilot","10/29/2017",0.25,0,NA,NA,NA,NA,NA,NA
"101","A1QYORNO0GY308",0.6,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"102","A88D0XRD2AUB8",0.62,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"103","AZIAQJWXTSFUX",0.7,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"104","AMQ6U0KTUPZGG",0.76,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"105","A151IWEMV5XRTA",0.7,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"106","A3AS4FEB057TRG",0.78,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"107","A12723JDRPT207",0.74,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"108","A1SM0IKQ4OTSCI",0.74,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"109","A20WI3VW3CBOWN",0.72,1,1,0.25,1,"pilot","10/29/2017",0.25,1,NA,NA,NA,NA,NA,NA
"110","A1F8ZAE0P2RA8O",0.06,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"111","A3H4BXI9FLYL7T",0.1,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"112","A3QX9ABC1DVMQG",0.2,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"113","ASKV5KO5CV616",0.16,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"114","AHRUMV5C1O0TD",0.1,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"115","A2IYMT4S5WT96I",0.22,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"116","A2OD4LJKPZDL2J",0.18,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"117","A3HT6A9N2R5540",0.2,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"118","A2UVS1PDM9QM4Z",0.06,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"119","A2HNND8B9GMR3J",0.22,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"120","A19BNROHVICIT3",0.12,0,1,0.25,0,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"121","A3FOSM7GD8KNE7",0.12,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"122","link:	https://berkeley.qualtrics.com/jfe/form/SV_0c74D4KW5HOi4W9",0.18,1,1,0.25,0,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"123","A2V8LLZRTOP79S",0.16,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"124","A8H704SBGR2EM",0.12,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"125","A1IM8G6UNAGQ7S",0.1,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"126","A3PT15XRN1X8VE",0.1,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"127","A1IPRH4LUEY12N",0.08,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"128","A2GTY8GLAYN9BU",0.24,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"129","A2FAKTUX48XA8L",0.18,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"130","A26TV9G5913CEI",0.96,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"131","A21LQSF1TA83QU",0.12,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"132","AGTKQI9PCODC5",0.94,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"133","A8HADRH59XIB4",0.08,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"134","A2YBW31YWAJAOK",0.08,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"135","A3pqugiqqbpr98",0.2,1,1,0.25,0,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"136","A31AB2277ZZP38",0.18,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"137","A20SMUCY0FQA7Z",0.08,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"138","A1TQ7UQSSQP7BD",0.18,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"139","A6NN7XDLH3RON",0.12,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"140","A264EBGUV70XK9",0.14,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"141","A32Y9JC775LYLV",0.12,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"142","A3O8NBM8GZ0QHW",0.06,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"143","A2M5YIOR0MJUSA",0.14,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"144","A3HKZTDORNEZ",0.1,0,1,0.25,0,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"145","A2ZB24AEN6N7Y3",0.2,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"146","A17Y9UW18EFVTU",0.08,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"147","A153IWW5M88F18",0.06,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"148","A1XE81PDQ4YPE",0.18,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"149","AYLAJHJXMPIBM",0.14,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"150","A3N0PDSJKA189T",0.18,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"151","A2L7S6RZOZ6NM9",0.16,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"152","APJJ1HHD2GGFS",0.2,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"153","AUBC0HIVKBOTF",0.06,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"154","A3VOMP0WOJTB4I",0.1,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"155","AQ4PB1PVI9U7V",0.08,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"156","A19HCBT1EH8484",0.08,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"157","A2CP6716BCS8UI",0.18,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"158","A4KSSWL5Z1V2L",0.1,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"159","A457TMXH02V1O",0.1,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"160","A3B203SOMXJ20F",0.14,1,1,0.25,0,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"161","A2S70B3BPRGCU0",0.2,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"162","AD368A1RHHRC3",0.66,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"163","A30V1UH00MWJU5",0.08,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"164","A35P8YSNTQ7OTP",0.72,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"165","A2SPFKH9FQ589W",0.08,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"166","A3HBWCNYRAL8DZ",0.08,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"167","A2XUGLS5WG70B6",0.18,1,1,0.25,0,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"168","A19PN52BDA462L",0.14,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"169","A2GXKPQB64DZC1",0.06,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"170","A39KVTVXJ5FU61",0.2,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"171","AMC42JMQA8A5U",0.1,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"172","A34IWSTZZZ4O1F",0.74,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"173","A1Y2N49VMVJ7C6",0.14,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"174","A8TSAF0F6JCI9",0.18,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"175","A2Q4ILF5IEPAE3",0.2,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"176","A34I1GV81BC9HE",0.08,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"177","A366MTQY0JG0EM",0.08,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"178","A3I2YX844MIRHH",0.08,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"179","A3F2L0C3JD7HVJ",0.1,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"180","A24CZN2VAI0US0",0.28,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"181","A1H5NN7PBN3979",0.08,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"182","A2E746SZEOVYXS",0.86,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"183","A1I6HDYRYDLWHA",0.2,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"184","A2482SLAY120J2",0.68,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"185","A3CLD4WJ1KWRPI",0.84,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"186","A2STXZFG083AAB",0.96,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"187","A3SUJYKV0JT0HA",0.94,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"188","A1PTC5FHUYMWYL",0.18,1,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"189","A31AGR8JS1MZI5",0.76,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"190","A23A1WMFNPETYQ",0.96,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"191","A33QI63NVR8CUO",0.68,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"192","A3SG675I9KG2Q0",0.5,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"193","A311VRCICCHRAG",0.58,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"194","A18V9R4S66TXC4",0.86,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"195","ATCB59EEU90H9",0.92,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"196","A37Q3659BNZQNZ",0.96,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"197","AZ0KS5UTO3EJ2",0.14,0,1,0.25,1,"order1","11/11/2017",0.1,0,NA,NA,NA,NA,NA,NA
"198","A3MAX9VZ9377NI",0.94,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"199","A1O9W0DBOAX4DD",0.84,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"200","A9HMOLVCWOYR5",0.36,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"201","A2YW35WSBU88O0",0.9,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"202","A1B14CS9DW7008",0.9,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"203","A12NO2MNOIREXA",0.88,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"204","A2B153AHPWHLH1",0.72,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"205","A2Z3UJQPANB6NF",0.92,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"206","A34KOI4FSDOTDT",0.94,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
"207","A12DOOZ9TBSEZX",0.68,1,1,0.25,1,"order1","11/11/2017",0.1,1,NA,NA,NA,NA,NA,NA
