"","worker_id","group","total_bonus","total_timespent","overall_accuracy","all_screeners_passed","CQ1","CQ2","CQ3","CQ4","CQ5"
"50","A2S7VNHIFDGS3V","TTT",0.3,241.197,0.568627450980392,1,"a lot more than half",3,"No","21 to 30","No"
"51","A27GK6AHDNFW5Y","TTT",0.3,193.806,0.705882352941177,1,"a lot more than half",4,"Yes","41 or more","Yes"
"52","A2J36LBPMKR1KO","TTT",0.3,195.273,0.803921568627451,1,"around half",2,"Yes","41 or more","Yes"
"53","A374YV9KCIQNCC","TTT",0.3,160.067,0.215686274509804,1,"around half",3,"Yes","0 to 10","Yes"
"54","A2HR7ZIX42FEPG","TTT",0.3,197.808,0.862745098039216,1,"around half",2,"Yes","41 or more","No"
"55","A2FUAVWYRMIU6S","TTT",0.3,258.034,0.470588235294118,0,"around half",3,"No","21 to 30","Yes"
"56","A25WYUL9BURZAH","TTT",0.3,447.211,0.901960784313726,1,"around half",2,"Yes","11 to 20","Yes"
"57","A2Z8SR1UU09HO5","TTT",0.3,359.589,0.862745098039216,1,"a lot more than half",3,"Yes","21 to 30","Yes"
"58","A22Z03NU5RN6AZ","TTT",0.3,628.445,0.941176470588235,1,"a lot more than half",2,"Yes","41 or more","No"
"59","A1A6UVH1CCP8CD","TTT",0.3,316.196,0.882352941176471,1,"around half",2,"Yes","41 or more","No"
